11.69	9.59	-3.76	0.72	3.89	3.43	-2.72	5.07	-2.57	2.37
-0.10	11.15	19.76	0.20	4.13	-0.42	3.08	1.34	2.53	5.26
1.38	9.82	21.24	0.04	3.49	-0.23	5.08	5.71	0.99	12.40
-5.58	2.72	49.42	0.09	5.51	0.26	0.12	6.28	0.64	11.86
0.19	8.93	54.72	0.22	2.12	-0.13	0.55	1.16	4.55	12.31
1.18	15.79	72.00	0.06	6.72	-6.00	12.89	8.87	-6.28	9.32
12.93	4.20	80.67	0.02	12.95	-3.85	-0.34	8.38	0.36	5.06
-4.44	6.18	104.35	0.05	5.44	0.74	-3.82	7.97	-4.77	12.64
13.90	17.14	2.16	0.23	3.37	2.36	2.10	3.48	2.54	1.37
-3.67	7.74	9.73	0.03	8.76	-1.37	-0.67	16.07	-0.69	11.45
6.10	13.21	32.66	0.22	2.72	-0.06	2.07	1.22	-0.47	5.05
8.90	11.79	36.50	0.14	3.31	1.15	-2.10	1.12	-0.31	1.85
2.01	13.96	72.15	0.48	2.70	-0.35	4.24	1.17	-0.63	4.33
10.27	12.16	78.24	0.42	2.87	-0.55	2.65	1.00	-0.57	2.00
1.28	17.38	93.72	0.24	2.09	0.47	-2.26	1.88	-6.63	5.13
-2.42	25.47	104.10	0.03	6.50	2.31	2.12	8.71	-2.93	16.42
15.81	10.94	133.68	0.34	2.11	-2.07	6.58	2.61	-7.05	4.08
-1.94	12.98	64.63	0.12	3.49	-0.04	0.66	4.53	-0.64	7.79
6.37	28.45	85.71	0.06	3.94	2.78	-3.61	7.71	-6.01	6.91
8.95	33.79	82.63	0.26	2.44	0.91	-3.36	1.75	-4.89	3.50
3.95	34.34	110.99	0.47	3.06	-2.87	1.25	1.74	-0.53	1.15
13.54	22.73	135.43	0.04	8.86	2.30	1.67	13.10	8.36	10.53
13.31	43.86	-1.22	0.10	3.94	0.55	-0.45	5.91	4.02	7.87
-3.15	47.92	24.05	0.02	4.89	-2.16	-0.39	10.43	4.23	12.54
8.43	37.03	48.41	0.01	12.66	3.66	-0.37	11.25	-0.81	11.90
3.50	35.72	70.99	0.01	11.51	0.05	-5.51	14.72	7.97	10.85
10.02	38.36	109.90	0.03	3.90	5.78	-5.18	5.55	-9.41	5.44
3.34	45.19	124.71	0.26	2.28	1.38	-3.58	1.69	-3.00	2.97
1.95	43.13	126.89	0.04	9.85	2.73	-0.28	8.49	1.27	11.91
1.57	59.76	-0.86	0.02	5.10	-10.87	0.85	15.18	14.03	10.45
2.34	51.79	27.05	0.02	10.38	6.93	0.96	10.59	-2.23	10.18
-0.03	49.27	28.40	0.36	3.47	-0.62	1.21	1.86	2.33	1.87
2.83	58.63	54.17	0.01	9.44	9.99	4.30	9.77	4.05	13.64
12.09	53.96	75.75	0.26	2.75	-4.23	-0.86	4.94	0.85	1.12
12.10	45.18	107.82	0.19	2.32	-3.12	0.65	5.94	-2.02	1.35
4.37	55.95	110.29	0.29	1.98	-0.64	2.79	2.12	-4.13	6.31
6.34	56.58	126.25	0.03	4.08	-4.98	0.83	14.00	5.82	12.93
-0.82	71.95	5.10	0.23	4.61	1.29	4.50	2.22	4.79	3.10
0.03	58.03	32.90	0.12	2.37	0.72	6.02	3.00	15.61	6.50
-0.55	55.71	32.04	0.07	3.40	0.48	0.24	8.12	6.09	5.54
2.43	71.44	40.28	0.06	6.05	3.75	0.87	7.45	-0.01	6.42
2.78	75.15	60.98	0.04	12.87	-3.77	2.99	5.96	-0.76	5.89
-5.33	59.51	78.02	0.47	5.24	-1.05	-1.19	1.25	0.83	2.67
-6.40	60.59	84.24	0.11	5.81	-0.10	-0.30	7.79	1.71	8.79
0.05	67.20	98.01	0.23	2.20	0.62	3.17	3.04	6.37	10.46
0.21	66.28	104.11	0.14	3.45	-0.18	2.70	8.75	0.72	9.81
